
Epoch: 182, train_Loss: 378.599, val_Loss: 651.140
Epoch: 183, train_Loss: 394.184, val_Loss: 645.143
Epoch: 184, train_Loss: 374.557, val_Loss: 634.012
Epoch: 185, train_Loss: 375.516, val_Loss: 632.621
Epoch: 186, train_Loss: 362.588, val_Loss: 645.550
Epoch: 187, train_Loss: 361.116, val_Loss: 633.498
Epoch: 188, train_Loss: 357.696, val_Loss: 642.363
Epoch: 189, train_Loss: 360.970, val_Loss: 639.832
Epoch: 190, train_Loss: 353.311, val_Loss: 618.432
Epoch: 191, train_Loss: 345.248, val_Loss: 627.872
Epoch: 192, train_Loss: 335.110, val_Loss: 663.953
Epoch: 193, train_Loss: 330.569, val_Loss: 687.718
Epoch: 194, train_Loss: 357.791, val_Loss: 648.216
Epoch: 195, train_Loss: 347.597, val_Loss: 692.741
Epoch: 196, train_Loss: 353.878, val_Loss: 634.220
Epoch: 197, train_Loss: 326.168, val_Loss: 638.590
Epoch: 198, train_Loss: 321.507, val_Loss: 633.095
Epoch: 199, train_Loss: 312.595, val_Loss: 624.745
Epoch: 200, train_Loss: 308.429, val_Loss: 648.787
Epoch: 201, train_Loss: 305.158, val_Loss: 638.020
Epoch: 202, train_Loss: 301.164, val_Loss: 645.589
Epoch: 203, train_Loss: 294.142, val_Loss: 619.975
Epoch: 204, train_Loss: 296.242, val_Loss: 632.180
Epoch: 205, train_Loss: 296.613, val_Loss: 639.147
Epoch: 206, train_Loss: 315.834, val_Loss: 625.062
Epoch: 207, train_Loss: 292.367, val_Loss: 633.283
Epoch: 208, train_Loss: 294.074, val_Loss: 625.230
Epoch: 209, train_Loss: 281.714, val_Loss: 640.435
Epoch: 210, train_Loss: 281.919, val_Loss: 630.799
Epoch: 211, train_Loss: 278.763, val_Loss: 626.058
Epoch: 212, train_Loss: 281.969, val_Loss: 625.347
Epoch: 213, train_Loss: 267.607, val_Loss: 610.323
Epoch: 214, train_Loss: 265.301, val_Loss: 633.150
Epoch: 215, train_Loss: 267.629, val_Loss: 647.027
Epoch: 216, train_Loss: 261.653, val_Loss: 644.755
Epoch: 217, train_Loss: 264.720, val_Loss: 630.764
Epoch: 218, train_Loss: 258.889, val_Loss: 630.953
Epoch: 219, train_Loss: 249.752, val_Loss: 632.323
Epoch: 220, train_Loss: 246.766, val_Loss: 667.073
Epoch: 221, train_Loss: 249.901, val_Loss: 639.689
Epoch: 222, train_Loss: 278.258, val_Loss: 646.163
Epoch: 223, train_Loss: 274.139, val_Loss: 662.207
Epoch: 224, train_Loss: 252.803, val_Loss: 630.661
Epoch: 225, train_Loss: 241.897, val_Loss: 641.680
Epoch: 226, train_Loss: 238.636, val_Loss: 636.355
Epoch: 227, train_Loss: 234.928, val_Loss: 636.809
Epoch: 228, train_Loss: 235.644, val_Loss: 651.430
Epoch: 229, train_Loss: 231.756, val_Loss: 644.223
Epoch: 230, train_Loss: 240.031, val_Loss: 657.975
Epoch: 231, train_Loss: 235.019, val_Loss: 625.039
Epoch: 232, train_Loss: 234.009, val_Loss: 629.024
Epoch: 233, train_Loss: 233.614, val_Loss: 642.512
Epoch: 234, train_Loss: 223.391, val_Loss: 619.065
Epoch: 235, train_Loss: 218.511, val_Loss: 621.096
Epoch: 236, train_Loss: 214.960, val_Loss: 631.615
Epoch: 237, train_Loss: 233.476, val_Loss: 656.543
Epoch: 238, train_Loss: 219.512, val_Loss: 618.846
Epoch: 239, train_Loss: 216.253, val_Loss: 616.464
Epoch: 240, train_Loss: 212.894, val_Loss: 609.286
Epoch: 241, train_Loss: 211.006, val_Loss: 603.951
Epoch: 242, train_Loss: 215.616, val_Loss: 612.242
Epoch: 243, train_Loss: 210.559, val_Loss: 635.855
Epoch: 244, train_Loss: 210.319, val_Loss: 595.545
Epoch: 245, train_Loss: 215.963, val_Loss: 608.817
Epoch: 246, train_Loss: 206.496, val_Loss: 610.949
Epoch: 247, train_Loss: 199.936, val_Loss: 614.988
Epoch: 248, train_Loss: 202.393, val_Loss: 605.107
Epoch: 249, train_Loss: 196.422, val_Loss: 620.134
Epoch: 250, train_Loss: 233.784, val_Loss: 605.373
Epoch: 251, train_Loss: 270.355, val_Loss: 601.014
Epoch: 252, train_Loss: 237.235, val_Loss: 605.020
Epoch: 253, train_Loss: 227.830, val_Loss: 667.864
Epoch: 254, train_Loss: 281.938, val_Loss: 619.949
Epoch: 255, train_Loss: 238.074, val_Loss: 597.724
Epoch: 256, train_Loss: 216.649, val_Loss: 604.732
Epoch: 257, train_Loss: 204.137, val_Loss: 598.603
Epoch: 258, train_Loss: 198.873, val_Loss: 602.876
Epoch: 259, train_Loss: 196.058, val_Loss: 590.574
Epoch: 260, train_Loss: 192.615, val_Loss: 604.961
Epoch: 261, train_Loss: 192.676, val_Loss: 595.932
Epoch: 262, train_Loss: 188.159, val_Loss: 603.690
Epoch: 263, train_Loss: 196.997, val_Loss: 611.556
Epoch: 264, train_Loss: 201.647, val_Loss: 613.734
Epoch: 265, train_Loss: 193.718, val_Loss: 600.131
Epoch: 266, train_Loss: 191.421, val_Loss: 601.611
Epoch: 267, train_Loss: 195.426, val_Loss: 612.371
Epoch: 268, train_Loss: 185.872, val_Loss: 608.563
Epoch: 269, train_Loss: 187.775, val_Loss: 617.033
Epoch: 270, train_Loss: 188.199, val_Loss: 602.132
Epoch: 271, train_Loss: 188.047, val_Loss: 610.399
Epoch: 272, train_Loss: 179.106, val_Loss: 606.464
Epoch: 273, train_Loss: 174.178, val_Loss: 601.263
Epoch: 274, train_Loss: 173.050, val_Loss: 601.746
Epoch: 275, train_Loss: 173.144, val_Loss: 595.319
Epoch: 276, train_Loss: 171.528, val_Loss: 608.634
Epoch: 277, train_Loss: 175.503, val_Loss: 607.832
Epoch: 278, train_Loss: 172.530, val_Loss: 605.498
Epoch: 279, train_Loss: 178.245, val_Loss: 604.501
Epoch: 280, train_Loss: 170.089, val_Loss: 605.316
Epoch: 281, train_Loss: 163.538, val_Loss: 610.675
Epoch: 282, train_Loss: 165.868, val_Loss: 599.998
Epoch: 283, train_Loss: 169.454, val_Loss: 602.955
Epoch: 284, train_Loss: 164.214, val_Loss: 610.608
Epoch: 285, train_Loss: 167.244, val_Loss: 615.214
Epoch: 286, train_Loss: 163.259, val_Loss: 609.571
Epoch: 287, train_Loss: 180.480, val_Loss: 623.012
Epoch: 288, train_Loss: 256.617, val_Loss: 624.624
Epoch: 289, train_Loss: 190.795, val_Loss: 593.746
Epoch: 290, train_Loss: 170.219, val_Loss: 604.514
Epoch: 291, train_Loss: 159.662, val_Loss: 600.269
Epoch: 292, train_Loss: 154.081, val_Loss: 605.970
Epoch: 293, train_Loss: 157.627, val_Loss: 606.482
Epoch: 294, train_Loss: 152.179, val_Loss: 607.520
Epoch: 295, train_Loss: 154.313, val_Loss: 618.465
Epoch: 296, train_Loss: 159.349, val_Loss: 616.524
Epoch: 297, train_Loss: 154.510, val_Loss: 605.836
Epoch: 298, train_Loss: 158.288, val_Loss: 609.134
Epoch: 299, train_Loss: 153.505, val_Loss: 610.265
Epoch: 300, train_Loss: 152.901, val_Loss: 612.393
Epoch: 301, train_Loss: 153.322, val_Loss: 622.417
Epoch: 302, train_Loss: 155.912, val_Loss: 619.210
Epoch: 303, train_Loss: 151.780, val_Loss: 636.537
Epoch: 304, train_Loss: 150.414, val_Loss: 606.744
Epoch: 305, train_Loss: 147.429, val_Loss: 610.759
Epoch: 306, train_Loss: 145.052, val_Loss: 604.953
Epoch: 307, train_Loss: 143.554, val_Loss: 609.589
Epoch: 308, train_Loss: 141.058, val_Loss: 609.210
Epoch: 309, train_Loss: 140.584, val_Loss: 606.930
Epoch: 310, train_Loss: 145.356, val_Loss: 598.936
Epoch: 311, train_Loss: 145.750, val_Loss: 604.225
Epoch: 312, train_Loss: 144.873, val_Loss: 588.427
Epoch: 313, train_Loss: 146.130, val_Loss: 609.510
Epoch: 314, train_Loss: 149.875, val_Loss: 636.644
Epoch: 315, train_Loss: 165.355, val_Loss: 617.945
Epoch: 316, train_Loss: 146.242, val_Loss: 613.795
Epoch: 317, train_Loss: 157.614, val_Loss: 598.263
Epoch: 318, train_Loss: 141.322, val_Loss: 611.945
Epoch: 319, train_Loss: 134.352, val_Loss: 594.266
Epoch: 320, train_Loss: 131.801, val_Loss: 608.222
Epoch: 321, train_Loss: 171.743, val_Loss: 594.485
Epoch: 322, train_Loss: 152.808, val_Loss: 600.072
Epoch: 323, train_Loss: 138.063, val_Loss: 605.540
Epoch: 324, train_Loss: 133.680, val_Loss: 598.628
Epoch: 325, train_Loss: 133.952, val_Loss: 595.385
Epoch: 326, train_Loss: 130.190, val_Loss: 601.608
Epoch: 327, train_Loss: 130.908, val_Loss: 599.319
Epoch: 328, train_Loss: 132.898, val_Loss: 600.699
Epoch: 329, train_Loss: 128.715, val_Loss: 593.999
Epoch: 330, train_Loss: 130.511, val_Loss: 598.529
Epoch: 331, train_Loss: 127.289, val_Loss: 605.323
Epoch: 332, train_Loss: 134.603, val_Loss: 600.728
Epoch: 333, train_Loss: 135.884, val_Loss: 618.670
Epoch: 334, train_Loss: 126.504, val_Loss: 595.781
Epoch: 335, train_Loss: 126.053, val_Loss: 602.521
Epoch: 336, train_Loss: 127.933, val_Loss: 607.122
Epoch: 337, train_Loss: 125.433, val_Loss: 598.829
Epoch: 338, train_Loss: 131.899, val_Loss: 610.155
Epoch: 339, train_Loss: 132.823, val_Loss: 595.339
Epoch: 340, train_Loss: 123.812, val_Loss: 602.512
Epoch: 341, train_Loss: 135.353, val_Loss: 600.593
Epoch: 342, train_Loss: 132.512, val_Loss: 603.961
Epoch: 343, train_Loss: 124.078, val_Loss: 613.610
Epoch: 344, train_Loss: 121.850, val_Loss: 605.621
Epoch: 345, train_Loss: 120.205, val_Loss: 615.427
Epoch: 346, train_Loss: 120.844, val_Loss: 616.794
Epoch: 347, train_Loss: 120.601, val_Loss: 613.137
Epoch: 348, train_Loss: 119.804, val_Loss: 608.573
Epoch: 349, train_Loss: 117.938, val_Loss: 601.331
Epoch: 350, train_Loss: 116.610, val_Loss: 606.683
